"1003 Vat. Syr. 94",NULL,,,"1003 CE ",," ",
"0979 Vat. Syr. 152",NULL,,,"979 CE ",," ",
"0859 Vat. Syr. 268",NULL,,,"859 CE ",," ",
"0928 Vat. Syr. 1",NULL,,,"928 CE ",," ",
"0883 BL Add. 18819",NULL,,,"883",,,
"0817 BL Add. 14593",NULL,,,"817 ",," ",
"0831 BL Or. 8731",NULL,,," 831",," ",
"0774 BL Add. 17170",NULL,,," 774",," ",
"0587? BL Add. 12158",NULL,,,"587? ",," ",
"0806 St. Marks 7",NULL,,,"806 ",," ",
"http://138.110.86.176/PHP/images/External%20Manuscripts%20(i.e.%20from%20books)/Sinai%20M51N%20(before%20569%20CE).png","468","0569 Sinai M51N"
"http://138.110.86.176/PHP/images/External%20Manuscripts%20(i.e.%20from%20books)/Sinai%20M56N%20(933%20CE).png","530","0933 Sinai M56N"
"http://138.110.86.176/PHP/images/External%20Manuscripts%20(i.e.%20from%20books)/Sinai%20Syr.%2030%20(779%20CE).png","32v","0779 Sinai Syr. 30"
"http://138.110.86.176/PHP/images/External%20Manuscripts%20(i.e.%20from%20books)/Sinai%20Syr.%2046%20(534%20CE).png","171","0534 Sinai Syr. 46"
"http://138.110.86.176/PHP/images/External%20Manuscripts%20(i.e.%20from%20books)/St%20Petersburg%20NS%201%20(462%20CE).png","13","0462 St Petersburg NS 1"
"http://138.110.86.176/PHP/images/External%20Manuscripts%20(i.e.%20from%20books)/St%20Petersburg%20NS%2023%20(981%20CE).png","23","0981 St Petersburg NS 23"
"http://138.110.86.176/PHP/images/External%20Manuscripts%20(i.e.%20from%20books)/Vat.%20Syr.%2014%20(956%20CE).png","46v","0956 Vat. Syr. 14"
"http://138.110.86.176/PHP/images/External%20Manuscripts%20(i.e.%20from%20books)/Vat.%20Syr.%2094%20(1003%20CE).png","28","1003 Vat. Syr. 94"
"http://138.110.86.176/PHP/images/External%20Manuscripts%20(i.e.%20from%20books)/Vat.%20Syr.%20152%20(979%20CE).png","173v","0979 Vat. Syr. 152"
"http://138.110.86.176/PHP/images/External%20Manuscripts%20(i.e.%20from%20books)/Vat.%20Syr.%20268%20(859%20CE).png","38","0859 Vat. Syr. 268"
"http://138.110.86.176/PHP/images/External%20Manuscripts%20(i.e.%20from%20books)/Vat%20Syr.%201%20(928%20CE).png","111","0928 Vat. Syr. 1"
"http://138.110.86.176/PHP/images/manImages/Add_18819/18819_4b_e.jpg","4b","0883 BL Add. 18819"
"http://138.110.86.176/PHP/images/manImages/Add_18819/18819_5a_e.jpg","5a","0883 BL Add. 18819"
"http://138.110.86.176/PHP/images/manImages/Add_18819/18819_22a_e.jpg","22a","0883 BL Add. 18819"
"http://138.110.86.176/PHP/images/manImages/Add_18819/18819_22b_e.jpg","22b","0883 BL Add. 18819"
"http://138.110.86.176/PHP/images/manImages/Add_18819/18819_60b_e.jpg","60b","0883 BL Add. 18819"
"http://138.110.86.176/PHP/images/manImages/Add_18819/18819_61a_e.jpg","61a","0883 BL Add. 18819"
"http://138.110.86.176/PHP/images/manImages/Add_18819/18819_81b_e.jpg","81b","0883 BL Add. 18819"
"http://138.110.86.176/PHP/images/manImages/Add_18819/18819_82a_e.jpg","82a","0883 BL Add. 18819"
"http://138.110.86.176/PHP/images/manImages/Add_18819/18819_112b_e.jpg","112b","0883 BL Add. 18819"
"http://138.110.86.176/PHP/images/manImages/Add_18819/18819_113a_e.jpg","113a","0883 BL Add. 18819"
"http://138.110.86.176/PHP/images/manImages/Add_14593/14593_8b_e.jpg","8b","0817 BL Add. 14593"
"http://138.110.86.176/PHP/images/manImages/Add_14593/14593_9a_e.jpg","9a","0817 BL Add. 14593"
"http://138.110.86.176/PHP/images/manImages/Add_14593/14593_20b_e.jpg","20b","0817 BL Add. 14593"
"http://138.110.86.176/PHP/images/manImages/Add_14593/14593_21a_e.jpg","21a","0817 BL Add. 14593"
"http://138.110.86.176/PHP/images/manImages/Add_14593/14593_25b_e.jpg","25b","0817 BL Add. 14593"
"http://138.110.86.176/PHP/images/manImages/Add_14593/14593_26a_e.jpg","26a","0817 BL Add. 14593"
"http://138.110.86.176/PHP/images/manImages/Add_14593/14593_141b_e.jpg","141b","0817 BL Add. 14593"
"http://138.110.86.176/PHP/images/manImages/Add_14593/14593_142a_e.jpg","142a","0817 BL Add. 14593"
"http://138.110.86.176/PHP/images/manImages/Add_14593/14593_164b_e.jpg","164b","0817 BL Add. 14593"
"http://138.110.86.176/PHP/images/manImages/Add_14593/14593_165a_e.jpg","165a","0817 BL Add. 14593"
"http://138.110.86.176/PHP/images/manImages/Or_8731/Or_8731-001.JPG","001","0831 BL Or. 8731"
"http://138.110.86.176/PHP/images/manImages/Or_8731/Or_8731-002.JPG","002","0831 BL Or. 8731"
"http://138.110.86.176/PHP/images/manImages/Or_8731/Or_8731-003.JPG","003","0831 BL Or. 8731"
"http://138.110.86.176/PHP/images/manImages/Or_8731/Or_8731-004.JPG","004","0831 BL Or. 8731"
"http://138.110.86.176/PHP/images/manImages/Or_8731/Or_8731-005.JPG","005","0831 BL Or. 8731"
"http://138.110.86.176/PHP/images/manImages/Or_8731/Or_8731-006.JPG","006","0831 BL Or. 8731"
"http://138.110.86.176/PHP/images/manImages/Or_8731/Or_8731-007.JPG","007","0831 BL Or. 8731"
"http://138.110.86.176/PHP/images/manImages/Or_8731/Or_8731-008.JPG","008","0831 BL Or. 8731"
"http://138.110.86.176/PHP/images/manImages/Or_8731/Or_8731-009.JPG","009","0831 BL Or. 8731"
"http://138.110.86.176/PHP/images/manImages/Or_8731/Or_8731-010.JPG","010","0831 BL Or. 8731"
"http://138.110.86.176/PHP/images/External%20Manuscripts%20(i.e.%20from%20books)/BL-Add.-12,158.png","1","0587? BL Add. 12158"
"http://138.110.86.176/PHP/images/External%20Manuscripts%20(i.e.%20from%20books)/BL.%20Add.%2017,170,%20f.%203b.png","3b","0774 BL Add. 17170"
